ewma_01,ewma_005,ewma_001,price,buy_signal,price_diff,timestamp
2500.733,2500.4714999999997,2500.2623,2505.44,0,0.012009866530429843,1623182280
2505.3970000000004,2505.4185,2505.4357,2505.01,0,0.0104151280833209,1623182340
2504.4810000000007,2504.7455,2504.9571,2499.72,0,0.01255340598146997,1623182400
2499.556,2499.638,2499.7036,2498.08,0,0.013218151540383007,1623182460
2497.743,2497.9115,2498.0463,2494.71,0,0.014017661371461933,1623182520
2494.488,2494.5989999999997,2494.6878,2492.49,0,0.014920822149737835,1623182580
2492.479,2492.4845,2492.4889,2492.38,0,0.013862252144536437,1623182640
2492.541,2492.4605,2492.3961,2493.99,0,0.013207751434448438,1623182700
2494.071,2494.0305,2493.9981,2494.8,0,0.01287878787878774,1623182760
2494.5460000000003,2494.673,2494.7746,2492.26,0,0.013381428903886395,1623182820
2492.536,2492.398,2492.2876000000006,2495.02,0,0.012260422762142245,1623182880
2495.318,2495.169,2495.0498,2498,0,0.013622898318655005,1623182940
2498.7210000000005,2498.3605,2498.0721,2505.21,0,0.010705689343408402,1623183000
2504.927,2505.0685,2505.1817,2502.38,0,0.011848720018542383,1623183060
2502.271,2502.3255,2502.3691000000003,2501.29,0,0.011090277416852999,1623183120
2500.684,2500.987,2501.2293999999997,2495.23,0,0.013545845473162867,1623183180
2495.123,2495.1765,2495.2193,2494.16,0,0.013980658819001327,1623183240
2493.8920000000003,2494.026,2494.1331999999998,2491.48,0,0.011752050989773227,1623183300
2491.524,2491.502,2491.4844,2491.92,0,0.011573405245754335,1623183360
2492.025,2491.9725,2491.9305000000004,2492.97,0,0.01114734633790235,1623183420
2493.25,2493.1099999999997,2492.9979999999996,2495.77,0,0.010217287650704994,1623183540
2495.7210000000005,2495.7455,2495.7651,2495.28,0,0.010387611811099201,1623183600
2495.6620000000003,2495.471,2495.3182,2499.1,0,0.008843183546076551,1623183660
2499.34,2499.22,2499.124,2501.5,0,0.007875274835098868,1623183720
2501.65,2501.575,2501.5150000000003,2503,0,0.0075908909308829405,1623183780
2504.108,2503.554,2503.1108,2514.08,0,0.0031502577483612584,1623183840
2514.02,2514.0499999999997,2514.0739999999996,2513.48,0,0.005020927160749197,1623183900
2513.862,2513.6710000000003,2513.5182000000004,2517.3,0,0.0034958090017080706,1623183960
2517.857,2517.5785,2517.3557,2522.87,0,0.0012802879260524792,1623184020
2523.221,2523.0454999999997,2522.9051,2526.38,0,-0.0017178730040612043,1623184080
2526.4370000000004,2526.4085,2526.3857,2526.95,0,-0.0019430538791823562,1623184140
2526.772,2526.8609999999994,2526.9321999999997,2525.17,0,-0.0015840517668117393,1623184200
2525.594,2525.382,2525.2124000000003,2529.41,0,-0.0032576766914022568,1623184260
2529.582,2529.496,2529.4271999999996,2531.13,0,-0.003935001363027595,1623184320
2530.8070000000002,2530.9685,2531.0977000000003,2527.9,0,-0.0024328494006883544,1623184380
2527.442,2527.6710000000003,2527.8542,2523.32,0,-0.0006221961542730068,1623184440
2523.043,2523.1815,2523.2923,2520.55,0,0.0004760865684076166,1623184500
2520.5890000000004,2520.5695,2520.5539000000003,2520.94,0,-0.006223868874308811,1623184560
2520.406,2520.6730000000002,2520.8866,2515.6,0,-0.0041143266020034625,1623184620
2515.977,2515.7884999999997,2515.6376999999998,2519.37,0,-0.005604575747111338,1623184680
2519.745,2519.5575,2519.4075000000003,2523.12,0,-0.00646025555661234,1623184740
2523.002,2523.061,2523.1081999999997,2521.94,0,-0.005995384505578995,1623184800
2522.714,2522.3269999999998,2522.0174,2529.68,0,-0.0053366433699124005,1623184860
2529.486,2529.583,2529.6605999999997,2527.74,0,-0.004573255160736447,1623184920
2528.066,2527.903,2527.7726,2531,0,-0.005855393125247002,1623184980
2531.2290000000003,2531.1144999999997,2531.0229,2533.29,0,-0.00476060774723776,1623185040
2534.208,2533.749,2533.3818,2542.47,0,-0.008354080874110523,1623185100
